surv	day	mo	yr	season	trans	cap	Group	Fun_group	Genus	Species	swab	Zoospore_load_NEW	Zoospore_load	Second_load	TC	R	sex	Tb	Ts	SVL	mass	act	ht	dist	subst	mtr	bk	time	AM_PM	Num
103	25	7	2012	wet	LoopTrail	2	Lizard	0	Ameiva	sp.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bask	NA	NA	NA	162	L	1051	AM	1
4	16	6	2013	wet	Cascada	5	Lizard	0	Ameiva	sp.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5	1.5	boulder	118	L	908	AM	1
72	22	3	2014	dry	Guabal	3	Lizard	0	Ameiva	sp.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	rock	268	L	914	AM	1
24	14	6	2012	wet	MainTrail	7	Salamander	both	Bolitaglossa	schizodactyla	EC_312	0	0	NA	NA	NA	NA	21.1	20.9	51.6	2	NA	100	NA	leaf	137	L	2058	PM	1
29	16	6	2012	wet	MainTrail	11	Salamander	both	Bolitaglossa	schizodactyla	NA	NA	NA	NA	NA	NA	M	19.6	19.7	NA	NA	NA	200	NA	leaf	142	L	2027	PM	1
54	28	6	2012	wet	LoopStream	10	Salamander	both	Bolitaglossa	schizodactyla	EC_495	0	0		NA	NA	M	20.2	20.1	NA	1.7	NA	180	0.2	leaf	174	R	2159	PM	1
95	22	7	2012	wet	MainTrail	8	Salamander	both	Bolitaglossa	schizodactyla	EC_774	48.30089569	48.30089569		NA	NA	M	21.4	21.4	55.3	4.2	NA	170	NA	leaf	175	L	2019	PM	1
38	20	2	2013	dry	MainTrail	3	Salamander	both	Bolitaglossa	schizodactyla	EC_903	1417.190399	1417.190399	NA	NA	NA	NA	20.2	20.1	53	3.2	NA	1.6	NA	leaf	138	L	2143	PM	1
44	22	2	2013	dry	MainTrail	3	Salamander	both	Bolitaglossa	schizodactyla	EC_914	0	0	NA	NA	NA	juv	NA	NA	24.1	NA	NA	1	NA	leaf	176	L	2124	PM	1
76	10	3	2013	dry	Guabal	9	Salamander	both	Bolitaglossa	schizodactyla	EC_1019	28.59855175	28.59855175	NA	NA	NA	NA	21	21.2	NA	NA	NA	0.5	1.6	leaf	185	R	2000	PM	1
31	24	6	2013	wet	Guabal	25	Salamander	both	Bolitaglossa	schizodactyla	EC_1179	0	0	NA	NA	NA	M	NA	NA	50.4	3.9	NA	1.2	0.4	boulder	190	L	2116	PM	1
48	2	7	2013	wet	MainTrail	3	Salamander	both	Bolitaglossa	schizodactyla	EC_1240	0	0	NA	NA	NA	M	19.5	19.8	51.4	4.9	NA	1.2	NA	leaf	176	L	1942	PM	1
27	3	3	2014	dry	Silenciosa	8	Salamander	both	Bolitaglossa	schizodactyla	EC_1507	0.805642009	0.805642009	NA	NA	NA	NA	19.1	18.9	59.9	NA	NA	0.5	0	leaf	153	R	2105	PM	1
69	15	3	2014	dry	LoopTrail	2	Salamander	both	Bolitaglossa	schizodactyla	EC_1623	0	0	NA	NA	NA	M	18.5	18.5	40.5	NA	NA	1	NA	leaf	343	R	2030	PM	1
69	15	3	2014	dry	LoopTrail	3	Salamander	both	Bolitaglossa	schizodactyla	EC_1624	0	0	NA	NA	NA	M	18.8	18.7	53.9	NA	NA	1.2	NA	leaf	183	R	2048	PM	1
78	29	3	2014	dry	Verrugosa	4	Salamander	both	Bolitaglossa	schizodactyla	EC_1699	0	0	NA	NA	NA	NA	NA	NA	51.5	NA	NA	1.6	NA	leaf	247	R	2011	PM	1
80	29	3	2014	dry	MainTrail	2	Salamander	both	Bolitaglossa	schizodactyla	EC_1709	0	0	NA	NA	NA	NA	NA	NA	54.3	NA	NA	NA	NA	leaf	226	R	2249	PM	1
83	30	3	2014	dry	MainTrail	4	Salamander	both	Bolitaglossa	schizodactyla	NA	NA	NA	NA	NA	NA	NA	19.8	19.9	NA	NA	NA	2	NA	leaf	226	R	2246	PM	1
84	31	3	2014	dry	Verrugosa	7	Salamander	both	Bolitaglossa	schizodactyla	EC_1722	0	0	NA	NA	NA	M	20.1	20.2	48.4	NA	NA	1.2	NA	leaf	296	R	2017	PM	1
1	12	7	2011	wet	LoopTrail	9	Salamander	NA	Bolitaglossa	schizodactyla	EC_55	0	NA	NA	NA	NA	m	19.8	19.9	60.91	6.25	NA	100	NA	wood	250	l	2139	PM	1
20	10	6	2012	wet	LoopStream	3	Snake	0	Bothreachis	schlegeli	NA	NA	NA	NA	NA	NA	NA	21.3	21.3	NA	NA	NA	40	0	branch	22	L	1943	PM	1
23	13	6	2012	wet	LoopStream	3	Snake	0	Bothreachis	schlegeli	NA	NA	NA	NA	NA	NA	NA	20.8	20.8	NA	NA	NA	50	0.3	branch	20	L	1926	PM	1
28	16	6	2012	wet	MainTrail	2	Snake	0	Bothreachis	schlegeli	NA	NA	NA	NA	NA	NA	NA	22.6	22.9	NA	NA	NA	50	NA	branch	20	L	1100	AM	1
29	16	6	2012	wet	MainTrail	8	Snake	0	Bothreachis	schlegeli	NA	NA	NA	NA	NA	NA	NA	21.3	21.4	NA	NA	NA	140	NA	branch	77	L	1952	PM	1
32	18	6	2012	wet	LoopStream	1	Snake	0	Bothreachis	schlegeli	NA	NA	NA	NA	NA	NA	NA	22.3	22.4	NA	NA	NA	40	NA	branch	20	L	1040	AM	1
52	27	6	2012	wet	LoopStream	1	Snake	0	Bothreachis	schlegeli	NA	NA	NA	NA	NA	NA	NA	21.3	21.3	NA	NA	NA	180	1.2	branch	18	L	2051	PM	1
54	28	6	2012	wet	LoopStream	3	Snake	0	Bothreachis	schlegeli	NA	NA	NA	NA	NA	NA	NA	20	20	NA	NA	NA	170	1.2	branch	17	L	2051	PM	1
55	29	6	2012	wet	LoopStream	3	Snake	0	Bothreachis	schlegeli	NA	NA	NA	NA	NA	NA	NA	20.9	21	NA	NA	NA	160	1	branch	17	L	1917	PM	1
20	21	6	2013	wet	LoopTrail	1	Snake	0	Bothreachis	schlegeli	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.6	NA	leaf	363	R	2214	PM	1
28	23	6	2013	wet	LoopTrail	2	Snake	0	Bothreachis	schlegeli	NA	NA	NA	NA	NA	NA	NA	20.8	20.8	NA	NA	NA	1.6	NA	leaf	363	R	2138	PM	1
12	16	7	2011	wet	Guabal	4	Frog	NA	Sachatamia	albomaculata	EC_84	0	NA	NA	NA	NA	m	22	NA	26.56	1.1	ampl	150	0	lf	125	l	2022	PM	1
12	16	7	2011	wet	Guabal	5	Frog	NA	Sachatamia	albomaculata	EC_85	0.570378266	NA	NA	NA	NA	f	22	NA	26.52	1.85	ampl	150	0	lf	125	l	2022	PM	1
12	16	7	2011	wet	Guabal	9	Frog	NA	Sachatamia	albomaculata	EC_88	0	NA	NA	NA	NA	m	21.7	21.8	25.82	1.1	NA	120	75	lf	135	l	2035	PM	1
12	16	7	2011	wet	Guabal	1	Frog	NA	Sachatamia	ilex	EC_82	0	NA	NA	NA	NA	NA	19.8	19.9	26.05	1.3	NA	200	0	lf	83	l	1955	PM	1
23	19	7	2011	wet	Cascada	1	Frog	NA	Espadarana	prosoblepon	EC_107	2.610414326	NA	NA	202	NA	m	21.2	21.3	25.86	0.9	NA	25	20	lf	20	R	2005	PM	1
23	19	7	2011	wet	Cascada	3	Frog	NA	Espadarana	prosoblepon	EC_108	12.18472481	NA	NA	111	R	m	22.4	22.5	24.62	0.7	NA	35	200	lf	30	c	2012	PM	1
23	19	7	2011	wet	Cascada	5	Frog	NA	Espadarana	prosoblepon	EC_109	0	NA	NA	203	NA	m	22.8	23	24.85	0.8	NA	125	25	lf	65	r	2030	PM	1
23	19	7	2011	wet	Cascada	6	Frog	NA	Espadarana	prosoblepon	EC_110	6.906538606	NA	NA	204	NA	m	22.7	22.8	22.89	0.7	NA	150	0	lf	70	r	2038	PM	1
23	19	7	2011	wet	Cascada	7	Frog	NA	Espadarana	prosoblepon	EC_111	3.224825263	NA	NA	205	NA	m	22.5	22.7	26.45	1	NA	140	0	lf	110	r	2059	PM	1
23	19	7	2011	wet	Cascada	8	Frog	NA	Espadarana	prosoblepon	EC_112	0	NA	NA	102	R	m	22.7	22.7	26.56	1	NA	225	70	lf	150	r	2116	PM	1
23	19	7	2011	wet	Cascada	9	Frog	NA	Espadarana	prosoblepon	EC_113	0	NA	NA	210	NA	m	22.6	22.7	25.85	0.85	NA	250	150	lf	155	r	2123	PM	1
25	20	7	2011	wet	Cascada	1	Frog	NA	Espadarana	prosoblepon	EC_117	0	NA	NA	1112	NA	m	20.6	20.6	24.45	0.9	NA	65	20	lf	5	r	1950	PM	1
25	20	7	2011	wet	Cascada	2	Frog	NA	Espadarana	prosoblepon	EC_118	0	NA	NA	1113	NA	m	20.8	20.9	23.18	0.85	NA	125	200	lf	10	r	1957	PM	1
25	20	7	2011	wet	Cascada	3	Frog	NA	Espadarana	prosoblepon	EC_119	0	NA	NA	214	NA	m	21.6	21.7	24.7	0.9	NA	150	200	lf	10	r	2005	PM	1
25	20	7	2011	wet	Cascada	5	Frog	NA	Espadarana	prosoblepon	EC_121	0	NA	NA	212	NA	m	22.4	22.5	25.1	0.8	NA	25	50	lf	30	r	2020	PM	1
25	20	7	2011	wet	Cascada	7	Frog	NA	Espadarana	prosoblepon	EC_123	0	NA	NA	213	NA	m	22.4	22.5	25.38	0.95	NA	135	50	lf	41	l	2028	PM	1
25	20	7	2011	wet	Cascada	8	Frog	NA	Espadarana	prosoblepon	EC_124	1.626516283	NA	NA	215	NA	m	22.5	22.5	25.86	0.85	NA	150	500	lf	55	l	2045	PM	1
25	20	7	2011	wet	Cascada	10	Frog	NA	Espadarana	prosoblepon	EC_126	0.394858755	NA	NA	220	NA	m	22.7	22.7	24.68	1.1	NA	200	0	lf	92	l	2101	PM	1
25	20	7	2011	wet	Cascada	12	Frog	NA	Espadarana	prosoblepon	EC_127	0	NA	NA	221	NA	m	22.3	22.4	25.14	0.9	NA	75	0	lf	187	r	2134	PM	1
25	20	7	2011	wet	Cascada	13	Frog	NA	Espadarana	prosoblepon	EC_128	0	NA	NA	222	NA	m	22.2	22.3	22.58	0.7	NA	130	0	lf	190	r	2135	PM	1
27	21	7	2011	wet	Cascada	1	Frog	NA	Espadarana	prosoblepon	EC_130	0	NA	NA	223	NA	f	22.6	22.7	25.85	1.3	ampl	140	0	lf	15	l	1950	PM	1
27	21	7	2011	wet	Cascada	2	Frog	NA	Espadarana	prosoblepon	EC_131	0	NA	NA	224	NA	m	22.5	22.5	25.09	0.9	ampl	140	0	lf	15	l	1950	PM	1
