"","survey_1","survey_2","survey_3","survey_4","survey_5","survey_6","survey_7","survey_8","survey_9","survey_10","survey_11"
"Cascada_0",3,3,3,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778
"Cascada_100",3,3,3,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778
"Cascada_120",3,3,3,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778
"Cascada_140",3,3,3,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778
"Cascada_160",3,3,3,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778
"Cascada_180",3,3,3,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778
"Cascada_20",3,3,3,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778
"Cascada_40",3,3,3,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778
"Cascada_60",3,3,3,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778
"Cascada_80",3,3,3,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778
"Guabal_0",3,3,3,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778
"Guabal_100",3,3,3,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778
"Guabal_120",3,3,3,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778
"Guabal_140",3,3,3,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778
"Guabal_160",3,3,3,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778
"Guabal_180",3,3,3,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778
"Guabal_20",3,3,3,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778
"Guabal_40",3,3,3,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778
"Guabal_60",3,3,3,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778
"Guabal_80",3,3,3,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778
"LoopStream_0",5,4,3,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778
"LoopStream_100",5,4,3,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778
"LoopStream_120",5,4,3,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778
"LoopStream_140",5,4,3,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778
"LoopStream_160",5,4,3,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778
"LoopStream_180",5,4,3,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778
"LoopStream_20",5,4,3,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778
"LoopStream_40",5,4,3,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778,3.27777777777778
