"","survey_1","survey_2","survey_3","survey_4","survey_5","survey_6","survey_7","survey_8","survey_9","survey_10","survey_11"
"Cascada_0",2,2,2,2,3,3,3,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"Cascada_100",2,2,2,2,3,3,3,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"Cascada_120",2,2,2,2,3,3,3,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"Cascada_140",2,2,2,2,3,3,3,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"Cascada_160",2,2,2,2,3,3,3,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"Cascada_180",2,2,2,2,3,3,3,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"Cascada_20",2,2,2,2,3,3,3,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"Cascada_40",2,2,2,2,3,3,3,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"Cascada_60",2,2,2,2,3,3,3,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"Cascada_80",2,2,2,2,3,3,3,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"Guabal_0",2,2,2,2,3,3,3,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"Guabal_100",2,2,2,2,3,3,3,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"Guabal_120",2,2,2,2,3,3,3,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"Guabal_140",2,2,2,2,3,3,3,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"Guabal_160",2,2,2,2,3,3,3,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"Guabal_180",2,2,2,2,3,3,3,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"Guabal_20",2,2,2,2,3,3,3,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"Guabal_40",2,2,2,2,3,3,3,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"Guabal_60",2,2,2,2,3,3,3,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"Guabal_80",2,2,2,2,3,3,3,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"LoopStream_0",2,2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"LoopStream_100",2,2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"LoopStream_120",2,2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"LoopStream_140",2,2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"LoopStream_160",2,2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"LoopStream_180",2,2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"LoopStream_20",2,2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"LoopStream_40",2,2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"LoopStream_60",2,2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"LoopStream_80",2,2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"LoopTrail_0",2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"LoopTrail_100",2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"LoopTrail_120",2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"LoopTrail_140",2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"LoopTrail_160",2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"LoopTrail_180",2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"LoopTrail_20",2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"LoopTrail_200",2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"LoopTrail_220",2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"LoopTrail_240",2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"LoopTrail_260",2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"LoopTrail_280",2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"LoopTrail_300",2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"LoopTrail_320",2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"LoopTrail_340",2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"LoopTrail_360",2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"LoopTrail_380",2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"LoopTrail_40",2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"LoopTrail_60",2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"LoopTrail_80",2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"MainTrail_0",2,2,2,2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"MainTrail_100",2,2,2,2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"MainTrail_120",2,2,2,2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"MainTrail_140",2,2,2,2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"MainTrail_160",2,2,2,2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"MainTrail_180",2,2,2,2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"MainTrail_20",2,2,2,2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"MainTrail_200",2,2,2,2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"MainTrail_220",2,2,2,2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"MainTrail_240",2,2,2,2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"MainTrail_260",2,2,2,2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"MainTrail_280",2,2,2,2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"MainTrail_300",2,2,2,2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"MainTrail_320",2,2,2,2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
"MainTrail_340",2,2,2,2,2,2,2,2.09677419354839,2.09677419354839,2.09677419354839,2.09677419354839
