"","survey_1","survey_2","survey_3","survey_4","survey_5","survey_6","survey_7","survey_8"
"Cascada_0",0.655604675,0,0.997328609,1.04018189,0,1.277039647,0,1.152667478
"Cascada_100",0,0,0,129.8437119,1.370472163,0,0.9013699,0
"Cascada_120",0,0,0,0,0,0,0,0
"Cascada_140",0,0,0,1133.701477,1224.368668,0,0,0
"Cascada_160",0,0,0,0,0.065556346,0,0,0
"Cascada_180",5282.9815105,0,2558.62442,0,2.555769086,0,0,0
"Cascada_20",0,2.808986456,2.298637629,0,0,0,0,0.58675833
"Cascada_40",0.312682912,0,0,0,669.61109641,0,0,0
"Cascada_60",0,0,0.312682912,0,0,0,0,0.754458383
"Cascada_80",0,3.019046783,0,0,0,0,0,0
"Guabal_0",0,0,0,0,0,0,0,0
"Guabal_100",3.656447828,0,0,0,0,0,0,0
"Guabal_120",0,0,0,44.77016449,0,0,0,0
"Guabal_140",0,0,0,264.2265701,1.434552222,0,0,888.7480164
"Guabal_160",0,0,0,0,0,0,0.431001745,44.977822896
"Guabal_180",0,7.175192833,0,0,26.18091583,0,0,0.989864821
"Guabal_20",0,0,0,0,0,0,0.689888299,0
"Guabal_40",0,22.99714565,0,0,0,0,0,0
"Guabal_60",0,0,0,0,0,0,0,0
"Guabal_80",0.595669188,0.991847664,0,0,0,0,0,143.4330273
"LoopStream_0",1.75548315,0,0,2.280485779,0,0,0,NA
"LoopStream_100",3.410695493,0,0,0,1.215975136,0,0,NA
"LoopStream_120",0,0,0,0,0,0,0,NA
"LoopStream_140",0,0,0,34.03541803,0,0,0,NA
"LoopStream_160",1.365357935,0,0,0,7.912663817,0,0,NA
"LoopStream_180",0,0,0,0,0,0,0,NA
"LoopStream_20",0.924985856,0,0,0,1.434257627,0,0,NA
"LoopStream_40",0,0,0,0,21.98229313,0,0,NA
"LoopStream_60",0,0,0,0,4.177798033,0,0,NA
"LoopStream_80",0,0,0,0,0,0,0,NA
"LoopTrail_0",0,0,0,0,0,0,0,NA
"LoopTrail_100",0,0,0,0,0,0,0,NA
"LoopTrail_120",123.4562302,0,0,0,0,0,0,NA
"LoopTrail_140",0,0,0,0,0,0,0,NA
"LoopTrail_160",0,0,0.656449422,0,0,0,0,NA
"LoopTrail_180",0,0,0,0,0,0,0,NA
"LoopTrail_20",0,7.501086593,0,2054.007659062,0,0,0,NA
"LoopTrail_200",0,3.358958662,0,0,0,0,0,NA
"LoopTrail_220",0,0,0,0,0,0,0,NA
"LoopTrail_240",0,0,0,0,0,0,0,NA
"LoopTrail_260",0,0,0,4.051280096,0,0,0,NA
"LoopTrail_280",0,0,0,0,0,0,0,NA
"LoopTrail_300",0,0,0,0,0,0,0,NA
"LoopTrail_320",0,0,0,29.82959986,0,0,0,NA
"LoopTrail_340",0,0,0,0,0,0,0,NA
"LoopTrail_360",0,0,0,0,0,0,0,NA
"LoopTrail_40",0,0,0,5.174398422,0.717046335,0,0,NA
"LoopTrail_60",0,0,0,1.280744523,0,0,0,NA
"LoopTrail_80",0,0,0,1.629335731,0,0,0,NA
"MainTrail_0",0,0,0,0,0,0,0,NA
"MainTrail_100",0,0,0,0,0,0.631493106,0.488525219,NA
"MainTrail_120",0,0,0,0,0,1018.973799798,0,NA
"MainTrail_140",0,0,0,0,0,0,0,NA
"MainTrail_160",0,0,0,0.248645823,0,0,48.30089569,NA
"MainTrail_180",0,0,0,0,0,0,0,NA
"MainTrail_20",0,0,0,0,0,0,0,NA
"MainTrail_200",5.14133513,0,0,0,0,0,0,NA
"MainTrail_220",0,0,0,13.55105758,0,0,0,NA
"MainTrail_240",0,0,0,0,0,0,0,NA
"MainTrail_260",0,0,0.845145658,0,0,0,0,NA
"MainTrail_280",0,0,0,0,0,0.338717178,0,NA
"MainTrail_300",0,0,0,0,0,2.913340032,0,NA
"MainTrail_320",0,0,0,0.410659239,0,0.453246459,0,NA
"MainTrail_340",0,1.34416759,0,0,0,0,0.722570568,NA
"MainTrail_360",0,0,0,0,0,0,0.864259005,NA
"MainTrail_380",0,0,0,0,0,0,0,NA
"MainTrail_40",1.34416759,0,0,0,0,0,0,NA
"MainTrail_60",0,0,3.177057653,0,0,0.375601546,0,NA
"MainTrail_80",0,0.636427179,0,0,0,122.6459312,0,NA
"Silenciosa_0",0,354.9459076,0,0,0,0,NA,NA
"Silenciosa_100",1.587578654,0,0,0,0.902460888,0.415624566,NA,NA
"Silenciosa_120",0,0,0,0,0,9.726955891,NA,NA
"Silenciosa_140",0,0,0,0,0,0,NA,NA
"Silenciosa_160",0.599819086,0,1.861881614,0,0,0,NA,NA
"Silenciosa_180",0,167.2265816,484.341815426,312.5830078,0,0,NA,NA
"Silenciosa_20",0,0,0,0,0,0,NA,NA
"Silenciosa_40",0,0,0,50.00249863,0,0,NA,NA
"Silenciosa_60",0,0,0,0,0,0.902721211,NA,NA
"Silenciosa_80",0,0,0,0,0,0,NA,NA
"Verrugosa_0",0,0,0,1.93305619,0.021655702,0,0,NA
"Verrugosa_100",0,115.2655315,0,0,0,0,0,NA
"Verrugosa_120",1.020969376,0,0,12.972288728,34.654260574,0,0,NA
"Verrugosa_140",2.20914036,2.522721887,0,1.997855827,0,0,0,NA
"Verrugosa_160",0,0,0,0,0,0,0,NA
"Verrugosa_180",0,0,0,55.295265805,0,0,0,NA
"Verrugosa_20",0,0,0,0,0,0,0,NA
"Verrugosa_200",0,0,2.343336046,0,2.873143479,599.8696136,0,NA
"Verrugosa_220",0,0,0,0.58068525,2.614922822,0.548845753,7.664070725,NA
"Verrugosa_240",0,0,0,2323.7325286,2.810093462,0,0,NA
"Verrugosa_260",0,0,0,4.499363303,1.290489584,0,0,NA
"Verrugosa_280",0,0,0,3.966568784,0,0,0,NA
"Verrugosa_300",0,0,0,1.824744791,0,0,0,NA
"Verrugosa_320",0,0,0,16.405670866,0,0,0,NA
"Verrugosa_340",0,0,0,0,0,0,0,NA
"Verrugosa_360",0,0,0,0,0,0.556724779,309.414402439,NA
"Verrugosa_380",0,0,0,1.919499785,0,0,0,NA
"Verrugosa_40",0,0,0,1726.787890467,0,0,0,NA
"Verrugosa_60",0,0,0,0,0.401844755,0,0,NA
